state,year,quarter,quarterly_users,prev_quarter_users,qoq_growth_rate,cumulative_users,growth_stage
Tamil Nadu,2021,1,449432,3595631.0,-87.5,274627196,STAGNANT
Telangana,2021,1,674068,4150153.0,-83.76,293411196,STAGNANT
Tripura,2021,1,8143,101066.0,-91.94,7448420,STAGNANT
Uttar Pradesh,2021,1,536023,7082855.0,-92.43,496816400,STAGNANT
Uttarakhand,2021,1,71103,594817.0,-88.05,47423908,STAGNANT
West Bengal,2021,1,303793,4070350.0,-92.54,288408408,STAGNANT
Andaman & Nicobar Islands,2020,4,973,9794.0,-90.07,619236,STAGNANT
Andhra Pradesh,2020,4,394191,3978789.0,-90.09,240442820,STAGNANT
Arunachal Pradesh,2020,4,4188,47870.0,-91.25,3055752,STAGNANT
Assam,2020,4,40998,729048.0,-94.38,42691940,STAGNANT
Bihar,2020,4,105494,3459128.0,-96.95,178432188,STAGNANT
Chandigarh,2020,4,30593,84467.0,-63.78,5612912,STAGNANT
Chhattisgarh,2020,4,59187,879885.0,-93.27,57632528,STAGNANT
Dadra & Nagar Haveli & Daman & Diu,2020,4,5335,62612.0,-91.48,4110996,STAGNANT
Delhi,2020,4,518592,2264717.0,-77.1,140037912,STAGNANT
Goa,2020,4,24214,119983.0,-79.82,7300340,STAGNANT
Gujarat,2020,4,456563,2792901.0,-83.65,190902200,STAGNANT
Haryana,2020,4,374080,2075024.0,-81.97,128921348,STAGNANT
Himachal Pradesh,2020,4,35276,412600.0,-91.45,20973168,STAGNANT
Jammu & Kashmir,2020,4,29701,337986.0,-91.21,14438172,STAGNANT
Jharkhand,2020,4,52483,1282150.0,-95.91,68441572,STAGNANT
Karnataka,2020,4,817087,5287266.0,-84.55,314240312,STAGNANT
Kerala,2020,4,364712,1299988.0,-71.94,83106516,STAGNANT
Ladakh,2020,4,1484,17122.0,-91.33,896312,STAGNANT
Lakshadweep,2020,4,101,736.0,-86.28,55128,STAGNANT
Madhya Pradesh,2020,4,195195,3292397.0,-94.07,191311860,STAGNANT
Maharashtra,2020,4,983306,7895486.0,-87.55,483102480,STAGNANT
Manipur,2020,4,6525,123688.0,-94.72,3760820,STAGNANT
Meghalaya,2020,4,3096,37816.0,-91.81,2336852,STAGNANT
Mizoram,2020,4,2443,21725.0,-88.75,996476,STAGNANT
Nagaland,2020,4,3816,54400.0,-92.99,2410568,STAGNANT
Odisha,2020,4,139630,2262871.0,-93.83,121647164,STAGNANT
Puducherry,2020,4,10885,64189.0,-83.04,4365228,STAGNANT
