state,year,quarter,transaction_type,quarterly_total,quarterly_volume,avg_transaction_value,previous_period_amount,qoq_growth_rate
Karnataka,2021,2,TOTAL,3351548604920.2,2122596184,1578.99,3019981429649.5728,10.98
Chandigarh,2021,2,TOTAL,33670695759.74,17670188,1905.51,30385683438.183983,10.81
Puducherry,2021,2,TOTAL,25995338786.18,15005548,1732.38,23597238286.9746,10.16
Sikkim,2021,2,TOTAL,9699598318.7,3906856,2482.71,8870670907.3629,9.34
Kerala,2021,2,TOTAL,296907225744.63,188764132,1572.9,277043880647.5784,7.17
Meghalaya,2021,2,TOTAL,8774469019.56,3638376,2411.64,8222061111.959343,6.72
Dadra & Nagar Haveli & Daman & Diu,2021,2,TOTAL,12630673845.68,8500332,1485.9,11862531644.77402,6.48
Tamil Nadu,2021,2,TOTAL,1053949364106.21,584633768,1802.75,994672575494.6027,5.96
Delhi,2021,2,TOTAL,1127764390738.17,680629056,1656.94,1067713380173.9705,5.62
Tripura,2021,2,TOTAL,13872617444.15,6977716,1988.13,13341366279.173687,3.98
Mizoram,2021,2,TOTAL,4491497893.21,1577360,2847.48,4404422347.7837515,1.98
Nagaland,2021,2,TOTAL,12625175855.13,4523164,2791.23,12429801938.452797,1.57
Lakshadweep,2021,2,TOTAL,109533854.63,45536,2405.43,108171131.65632461,1.26
Goa,2021,2,TOTAL,32051414348.3,18840540,1701.19,39028971516.0857,-17.88
Goa,2021,1,TOTAL,39028971516.09,21326196,1830.1,27599170990.31974,41.41
Assam,2021,1,TOTAL,205305858184.49,78048240,2630.5,160906445277.05685,27.59
Rajasthan,2021,1,TOTAL,1965970326630.58,1010923676,1944.73,1544139119346.0173,27.32
Manipur,2021,1,TOTAL,28281150057.92,9214140,3069.32,22408898233.83502,26.21
Andaman & Nicobar Islands,2021,1,TOTAL,3134826269.56,979008,3202.04,2509130625.25941,24.94
Gujarat,2021,1,TOTAL,734803122853.8,379098260,1938.29,593572240449.7568,23.79
Maharashtra,2021,1,TOTAL,3079549408613.0,2071440960,1486.67,2488622123329.177,23.75
Chandigarh,2021,1,TOTAL,30385683438.18,15880948,1913.34,24587051605.39737,23.58
Delhi,2021,1,TOTAL,1067713380173.97,629436016,1696.3,865060352898.174,23.43
Kerala,2021,1,TOTAL,277043880647.58,169265368,1636.74,227021026588.04553,22.03
West Bengal,2021,1,TOTAL,971748829902.09,473016208,2054.37,796661965462.5925,21.98
Madhya Pradesh,2021,1,TOTAL,1374135817529.15,807993992,1700.68,1137100559089.4856,20.85
Tamil Nadu,2021,1,TOTAL,994672575494.6,546226696,1820.99,825892790003.979,20.44
Odisha,2021,1,TOTAL,853590944753.36,445841432,1914.56,713210652058.469,19.68
Puducherry,2021,1,TOTAL,23597238286.97,13237728,1782.57,19722104870.684826,19.65
Bihar,2021,1,TOTAL,1123894598804.91,459729908,2444.68,955622452545.8911,17.61
Sikkim,2021,1,TOTAL,8870670907.36,3200756,2771.43,7677103220.4916935,15.55
Jharkhand,2021,1,TOTAL,334997412492.56,178486652,1876.88,291220699320.1742,15.03
Telangana,2021,1,TOTAL,3197437056186.36,1650288440,1937.5,2785401756907.8276,14.79
Karnataka,2021,1,TOTAL,3019981429649.57,2095189968,1441.39,2632146794260.073,14.73
Uttarakhand,2021,1,TOTAL,145152757599.59,82433608,1760.84,127170957316.44154,14.14
Meghalaya,2021,1,TOTAL,8222061111.96,2990584,2749.32,7216970288.795883,13.93
Nagaland,2021,1,TOTAL,12429801938.45,3903588,3184.2,11092339482.250744,12.06
Mizoram,2021,1,TOTAL,4404422347.78,1318300,3340.99,3946088462.7758307,11.61
Chhattisgarh,2021,1,TOTAL,277639373046.21,157745748,1760.04,248859897135.79428,11.56
Jammu & Kashmir,2021,1,TOTAL,68553399572.61,27990280,2449.19,61523623213.51281,11.43
Uttar Pradesh,2021,1,TOTAL,1585150350310.26,817998188,1937.84,1429715307113.0715,10.87
Dadra & Nagar Haveli & Daman & Diu,2021,1,TOTAL,11862531644.77,7700976,1540.39,10802044403.314022,9.82
Punjab,2021,1,TOTAL,234763548364.43,107083340,2192.34,215101625918.22006,9.14
Arunachal Pradesh,2021,1,TOTAL,15255116316.07,4709824,3239.0,14281056087.382477,6.82
Haryana,2021,1,TOTAL,675753204329.71,361011136,1871.83,639994017466.1672,5.59
Tripura,2021,1,TOTAL,13341366279.17,6045692,2206.76,12728523984.885235,4.81
Andhra Pradesh,2021,1,TOTAL,2689778680706.46,1158991880,2320.79,2619366184133.3237,2.69
Himachal Pradesh,2021,1,TOTAL,56482187637.95,30456116,1854.54,55956212435.25161,0.94
Lakshadweep,2021,1,TOTAL,108171131.66,36340,2976.64,120445271.66832155,-10.19
Ladakh,2021,1,TOTAL,3933679252.99,1101660,3570.68,4447853882.031842,-11.56
Goa,2020,4,TOTAL,27599170990.32,15205524,1815.08,13473374323.77864,104.84
Andaman & Nicobar Islands,2020,4,TOTAL,2509130625.26,898124,2793.75,1352077785.3214417,85.58
