state,year,quarter,insurance_type,quarterly_policies,quarterly_premium,avg_premium_per_policy,prev_quarter_policies,qoq_growth_rate
Odisha,2022,2,TOTAL,12371,16631095.0,1344.36,9627.0,28.5
Puducherry,2022,2,TOTAL,1156,1597786.0,1382.17,1199.0,-3.59
Punjab,2022,2,TOTAL,9175,15465367.0,1685.6,7475.0,22.74
Rajasthan,2022,2,TOTAL,24333,33748931.0,1386.96,21517.0,13.09
Sikkim,2022,2,TOTAL,160,383709.0,2398.18,239.0,-33.05
Tamil Nadu,2022,2,TOTAL,46714,61835120.0,1323.7,47621.0,-1.9
Telangana,2022,2,TOTAL,45600,58056956.0,1273.18,36325.0,25.53
Tripura,2022,2,TOTAL,1021,1509105.0,1478.07,907.0,12.57
Uttar Pradesh,2022,2,TOTAL,55133,77434953.0,1404.51,45996.0,19.86
Uttarakhand,2022,2,TOTAL,5773,9168313.0,1588.14,5339.0,8.13
West Bengal,2022,2,TOTAL,33542,41737021.0,1244.32,38779.0,-13.5
Andaman & Nicobar Islands,2022,1,TOTAL,768,1131287.0,1473.03,757.0,1.45
Andhra Pradesh,2022,1,TOTAL,29954,42648157.0,1423.79,25423.0,17.82
Arunachal Pradesh,2022,1,TOTAL,355,894107.0,2518.61,320.0,10.94
Assam,2022,1,TOTAL,16230,27447766.0,1691.17,8622.0,88.24
Bihar,2022,1,TOTAL,20253,27755736.0,1370.45,22456.0,-9.81
Chandigarh,2022,1,TOTAL,792,1150932.0,1453.2,710.0,11.55
Chhattisgarh,2022,1,TOTAL,6612,10139190.0,1533.45,6029.0,9.67
Dadra & Nagar Haveli & Daman & Diu,2022,1,TOTAL,493,720741.0,1461.95,421.0,17.1
Delhi,2022,1,TOTAL,28232,35442069.0,1255.39,34251.0,-17.57
Goa,2022,1,TOTAL,2634,3865245.0,1467.44,2087.0,26.21
Gujarat,2022,1,TOTAL,22221,29953433.0,1347.98,19142.0,16.09
Haryana,2022,1,TOTAL,22783,32526943.0,1427.68,19489.0,16.9
Himachal Pradesh,2022,1,TOTAL,2768,5234739.0,1891.16,2474.0,11.88
Jammu & Kashmir,2022,1,TOTAL,3584,7244267.0,2021.28,3113.0,15.13
Jharkhand,2022,1,TOTAL,9373,13819466.0,1474.39,8465.0,10.73
Karnataka,2022,1,TOTAL,95640,130733580.0,1366.93,74436.0,28.49
Kerala,2022,1,TOTAL,37110,64172190.0,1729.24,19199.0,93.29
Ladakh,2022,1,TOTAL,75,193935.0,2585.8,76.0,-1.32
