state,year,quarter,registered_users,prev_quarter_users,qoq_user_growth_pct
Karnataka,2021,3,999896,6567268.0,-84.77
Kerala,2021,3,461244,1714598.0,-73.1
Ladakh,2021,3,2004,21227.0,-90.56
Lakshadweep,2021,3,134,970.0,-86.19
Madhya Pradesh,2021,3,249062,4052668.0,-93.85
Maharashtra,2021,3,1219480,9764252.0,-87.51
Manipur,2021,3,8421,159031.0,-94.7
Meghalaya,2021,3,4026,48812.0,-91.75
Mizoram,2021,3,3145,29025.0,-89.16
Nagaland,2021,3,4751,69897.0,-93.2
Odisha,2021,3,146495,2776465.0,-94.72
Puducherry,2021,3,13603,83067.0,-83.62
Punjab,2021,3,450178,1380642.0,-67.39
Rajasthan,2021,3,403105,4079016.0,-90.12
Sikkim,2021,3,5768,34745.0,-83.4
Tamil Nadu,2021,3,516731,4159447.0,-87.58
Telangana,2021,3,767224,4736356.0,-83.8
Tripura,2021,3,7665,116546.0,-93.42
Uttar Pradesh,2021,3,619775,8037309.0,-92.29
Uttarakhand,2021,3,82495,681400.0,-87.89
West Bengal,2021,3,218506,4654760.0,-95.31
Andaman & Nicobar Islands,2021,2,1153,13714.0,-91.59
Andhra Pradesh,2021,2,450689,4644641.0,-90.3
Arunachal Pradesh,2021,2,5062,57405.0,-91.18
Assam,2021,2,41622,852998.0,-95.12
Bihar,2021,2,215607,4036125.0,-94.66
Chandigarh,2021,2,35361,96137.0,-63.22
Chhattisgarh,2021,2,69177,1035868.0,-93.32
Dadra & Nagar Haveli & Daman & Diu,2021,2,6273,73383.0,-91.45
Delhi,2021,2,591905,2575350.0,-77.02
Goa,2021,2,28049,142193.0,-80.27
Gujarat,2021,2,529166,3197714.0,-83.45
Haryana,2021,2,434298,2382996.0,-81.78
Himachal Pradesh,2021,2,41436,481737.0,-91.4
Jammu & Kashmir,2021,2,35495,418392.0,-91.52
Jharkhand,2021,2,60783,1499838.0,-95.95
Karnataka,2021,2,931735,6173033.0,-84.91
Kerala,2021,2,427612,1589645.0,-73.1
Ladakh,2021,2,1823,20199.0,-90.97
Lakshadweep,2021,2,121,921.0,-86.86
Madhya Pradesh,2021,2,228017,3826173.0,-94.04
Maharashtra,2021,2,1131848,9195320.0,-87.69
Manipur,2021,2,7675,149035.0,-94.85
Meghalaya,2021,2,3658,45624.0,-91.98
Mizoram,2021,2,2898,27202.0,-89.35
Nagaland,2021,2,4432,65272.0,-93.21
Odisha,2021,2,141842,2614110.0,-94.57
Puducherry,2021,2,12595,77315.0,-83.71
Punjab,2021,2,418009,1304479.0,-67.96
Rajasthan,2021,2,373677,3873176.0,-90.35
Sikkim,2021,2,5244,32524.0,-83.88
Tamil Nadu,2021,2,481336,3887022.0,-87.62
Telangana,2021,2,719281,4458631.0,-83.87
Tripura,2021,2,7942,108575.0,-92.69
Uttar Pradesh,2021,2,578403,7599834.0,-92.39
Uttarakhand,2021,2,76591,639297.0,-88.02
West Bengal,2021,2,201393,4357020.0,-95.38
Andaman & Nicobar Islands,2021,1,1056,12398.0,-91.48
Andhra Pradesh,2021,1,421002,4325662.0,-90.27
Arunachal Pradesh,2021,1,4560,53097.0,-91.41
Assam,2021,1,37442,792324.0,-95.27
Bihar,2021,1,220336,3761975.0,-94.14
Chandigarh,2021,1,32907,90201.0,-63.52
Chhattisgarh,2021,1,63748,962085.0,-93.37
