year,quarter,level,region,category,type,count,amount
2024,2,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,1008,1367259.0
2024,3,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,1052,1602869.0
2024,4,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,1503,2292529.0
2020,2,state,Delhi,Insurance,TOTAL,11716,1897480.0
2020,3,state,Delhi,Insurance,TOTAL,7588,1927285.0
2020,4,state,Delhi,Insurance,TOTAL,9725,8045442.0
2021,1,state,Delhi,Insurance,TOTAL,12822,9655261.0
2021,2,state,Delhi,Insurance,TOTAL,13292,10840929.0
2021,3,state,Delhi,Insurance,TOTAL,16679,15007079.0
2021,4,state,Delhi,Insurance,TOTAL,34251,36578331.0
2022,1,state,Delhi,Insurance,TOTAL,28232,35442069.0
2022,2,state,Delhi,Insurance,TOTAL,26378,31787281.0
2022,3,state,Delhi,Insurance,TOTAL,35944,41570160.0
2022,4,state,Delhi,Insurance,TOTAL,48908,60603173.0
2023,1,state,Delhi,Insurance,TOTAL,45821,61040038.0
2023,2,state,Delhi,Insurance,TOTAL,41358,54951108.0
2023,3,state,Delhi,Insurance,TOTAL,47113,58878500.0
2023,4,state,Delhi,Insurance,TOTAL,56336,77332401.0
2024,1,state,Delhi,Insurance,TOTAL,53050,76232346.0
2024,2,state,Delhi,Insurance,TOTAL,46189,68046072.0
2024,3,state,Delhi,Insurance,TOTAL,49150,71139489.0
2024,4,state,Delhi,Insurance,TOTAL,67962,94390728.0
2020,2,state,Goa,Insurance,TOTAL,341,71100.0
2020,3,state,Goa,Insurance,TOTAL,683,196864.0
2020,4,state,Goa,Insurance,TOTAL,614,682364.0
2021,1,state,Goa,Insurance,TOTAL,879,827384.0
2021,2,state,Goa,Insurance,TOTAL,1016,1028339.0
2021,3,state,Goa,Insurance,TOTAL,1214,1385986.0
2021,4,state,Goa,Insurance,TOTAL,2087,2737316.0
2022,1,state,Goa,Insurance,TOTAL,2634,3865245.0
2022,2,state,Goa,Insurance,TOTAL,3524,5093510.0
2022,3,state,Goa,Insurance,TOTAL,3157,4142108.0
2022,4,state,Goa,Insurance,TOTAL,4388,6190669.0
2023,1,state,Goa,Insurance,TOTAL,4097,5859549.0
2023,2,state,Goa,Insurance,TOTAL,4166,5930801.0
2023,3,state,Goa,Insurance,TOTAL,3927,5646054.0
2023,4,state,Goa,Insurance,TOTAL,4883,7411001.0
2024,1,state,Goa,Insurance,TOTAL,5225,7528093.0
2024,2,state,Goa,Insurance,TOTAL,5021,7178558.0
2024,3,state,Goa,Insurance,TOTAL,5354,8051690.0
2024,4,state,Goa,Insurance,TOTAL,6662,9903374.0
2020,2,state,Gujarat,Insurance,TOTAL,7697,1430591.0
2020,3,state,Gujarat,Insurance,TOTAL,12525,3335812.0
2020,4,state,Gujarat,Insurance,TOTAL,9990,6055037.0
2021,1,state,Gujarat,Insurance,TOTAL,12673,7288104.0
2021,2,state,Gujarat,Insurance,TOTAL,14676,10263998.0
2021,3,state,Gujarat,Insurance,TOTAL,15348,12341903.0
2021,4,state,Gujarat,Insurance,TOTAL,19142,23282921.0
2022,1,state,Gujarat,Insurance,TOTAL,22221,29953433.0
2022,2,state,Gujarat,Insurance,TOTAL,25381,32090965.0
2022,3,state,Gujarat,Insurance,TOTAL,31302,37557227.0
2022,4,state,Gujarat,Insurance,TOTAL,36418,50629325.0
2023,1,state,Gujarat,Insurance,TOTAL,32600,46937694.0
2023,2,state,Gujarat,Insurance,TOTAL,32484,46254095.0
2023,3,state,Gujarat,Insurance,TOTAL,51049,65768085.0
2023,4,state,Gujarat,Insurance,TOTAL,41128,66735446.0
2024,1,state,Gujarat,Insurance,TOTAL,44665,62633910.0
2024,2,state,Gujarat,Insurance,TOTAL,44007,63866463.0
2024,3,state,Gujarat,Insurance,TOTAL,46763,70950327.0
2024,4,state,Gujarat,Insurance,TOTAL,62526,91858105.0
2020,2,state,Haryana,Insurance,TOTAL,6321,1179814.0
2020,3,state,Haryana,Insurance,TOTAL,7139,1884868.0
2020,4,state,Haryana,Insurance,TOTAL,8283,5974278.0
2021,1,state,Haryana,Insurance,TOTAL,11038,7297880.0
2021,2,state,Haryana,Insurance,TOTAL,12516,11272453.0
2021,3,state,Haryana,Insurance,TOTAL,14163,13215898.0
2021,4,state,Haryana,Insurance,TOTAL,19489,25885838.0
2022,1,state,Haryana,Insurance,TOTAL,22783,32526943.0
2022,2,state,Haryana,Insurance,TOTAL,25352,33759068.0
2022,3,state,Haryana,Insurance,TOTAL,35346,45402800.0
2022,4,state,Haryana,Insurance,TOTAL,37971,56627115.0
2023,1,state,Haryana,Insurance,TOTAL,37287,61127194.0
2023,2,state,Haryana,Insurance,TOTAL,40710,62186066.0
2023,3,state,Haryana,Insurance,TOTAL,42815,61782311.0
2023,4,state,Haryana,Insurance,TOTAL,47506,80747159.0
2024,1,state,Haryana,Insurance,TOTAL,50391,81816509.0
2024,2,state,Haryana,Insurance,TOTAL,46085,74779879.0
2024,3,state,Haryana,Insurance,TOTAL,49735,79198642.0
2024,4,state,Haryana,Insurance,TOTAL,58808,94316512.0
2020,2,state,Himachal Pradesh,Insurance,TOTAL,392,77936.0
2020,3,state,Himachal Pradesh,Insurance,TOTAL,531,165559.0
2020,4,state,Himachal Pradesh,Insurance,TOTAL,710,630966.0
2021,1,state,Himachal Pradesh,Insurance,TOTAL,1064,906492.0
2021,2,state,Himachal Pradesh,Insurance,TOTAL,1210,1402338.0
2021,3,state,Himachal Pradesh,Insurance,TOTAL,1759,2444545.0
2021,4,state,Himachal Pradesh,Insurance,TOTAL,2474,4667661.0
2022,1,state,Himachal Pradesh,Insurance,TOTAL,2768,5234739.0
2022,2,state,Himachal Pradesh,Insurance,TOTAL,2831,5371078.0
2022,3,state,Himachal Pradesh,Insurance,TOTAL,3641,6161692.0
2022,4,state,Himachal Pradesh,Insurance,TOTAL,4565,9060436.0
2023,1,state,Himachal Pradesh,Insurance,TOTAL,3909,7826133.0
2023,2,state,Himachal Pradesh,Insurance,TOTAL,4197,8499425.0
2023,3,state,Himachal Pradesh,Insurance,TOTAL,3935,7869767.0
2023,4,state,Himachal Pradesh,Insurance,TOTAL,5211,11898824.0
2024,1,state,Himachal Pradesh,Insurance,TOTAL,5430,10433254.0
2024,2,state,Himachal Pradesh,Insurance,TOTAL,5194,10008705.0
2024,3,state,Himachal Pradesh,Insurance,TOTAL,5272,10538999.0
