year,quarter,level,region,registered_users,app_opens
2021,2,state,Bihar,14972134,371198660
2021,2,state,Kerala,7416083,87814415
2021,2,state,Karnataka,25751023,1051089714
2021,2,state,Chandigarh,448572,4733924
2021,2,state,Telangana,18306880,905317692
2021,2,state,Himachal Pradesh,1743151,43269977
2021,2,state,West Bengal,17979979,275341466
2021,2,state,Gujarat,15735981,282432543
2021,2,state,Sikkim,171740,4541121
2021,2,state,Nagaland,223337,6716892
2021,2,state,Mizoram,92552,4014597
2021,2,state,Chhattisgarh,4837055,205784717
2021,2,state,Jammu & Kashmir,1261267,34274559
2021,2,state,Goa,609106,12710361
2021,2,state,Arunachal Pradesh,270572,13025849
2021,2,state,Delhi,11182699,164997774
2021,2,state,Uttarakhand,3004040,78380036
2021,3,state,Puducherry,396609,6899592
2021,3,state,Tamil Nadu,19127440,459826734
2021,3,state,Uttar Pradesh,34151882,803890116
2021,3,state,Madhya Pradesh,17210233,929572924
2021,3,state,Andhra Pradesh,21059898,1258536879
2021,3,state,Tripura,509929,12279146
2021,3,state,Lakshadweep,5287,49127
2021,3,state,Manipur,361749,9743772
2021,3,state,Maharashtra,42581217,1565370852
2021,3,state,Dadra & Nagar Haveli & Daman & Diu,371874,7162734
2021,3,state,Meghalaya,223065,9952956
2021,3,state,Andaman & Nicobar Islands,66982,3121625
2021,3,state,Haryana,11325336,296884105
2021,3,state,Rajasthan,20499465,1429553825
2021,3,state,Ladakh,81210,7099550
2021,3,state,Punjab,6434862,107614155
2021,3,state,Assam,3918480,135288631
2021,3,state,Jharkhand,6151843,230475998
2021,3,state,Odisha,10652490,492879704
2021,3,state,Bihar,16160771,421801379
2021,3,state,Kerala,7949425,116282717
2021,3,state,Karnataka,27614221,1366781087
2021,3,state,Chandigarh,480463,6378807
2021,3,state,Telangana,19615278,1107529197
2021,3,state,Himachal Pradesh,1880626,52970288
2021,3,state,West Bengal,19323278,348588666
2021,3,state,Gujarat,16946761,379987151
2021,3,state,Sikkim,184693,5714565
2021,3,state,Nagaland,241797,8661991
2021,3,state,Mizoram,100647,5385718
2021,3,state,Chhattisgarh,5206084,276486076
2021,3,state,Jammu & Kashmir,1359860,45025197
2021,3,state,Goa,653458,16575111
2021,3,state,Arunachal Pradesh,293073,17209654
2021,3,state,Delhi,11980061,223844376
2021,3,state,Uttarakhand,3233509,90886530
2021,4,state,Puducherry,423167,14257568
2021,4,state,Tamil Nadu,20433142,685861440
2021,4,state,Uttar Pradesh,36617655,1175923794
2021,4,state,Madhya Pradesh,18456243,956630781
2021,4,state,Andhra Pradesh,22489029,1447717601
2021,4,state,Tripura,546292,10728702
2021,4,state,Lakshadweep,5638,67320
2021,4,state,Manipur,387746,7603294
2021,4,state,Maharashtra,45482506,2031739248
2021,4,state,Dadra & Nagar Haveli & Daman & Diu,398963,15009455
2021,4,state,Meghalaya,240268,6048594
2021,4,state,Andaman & Nicobar Islands,71780,2112910
2021,4,state,Haryana,12116439,442176987
2021,4,state,Rajasthan,21977202,1185124031
2021,4,state,Ladakh,87057,2665203
2021,4,state,Punjab,6880103,138427499
2021,4,state,Assam,4209591,130600435
2021,4,state,Jharkhand,6596196,284960009
2021,4,state,Odisha,11399235,567351446
2021,4,state,Bihar,17335981,647400838
2021,4,state,Kerala,8473810,213542857
2021,4,state,Karnataka,29459646,1941558513
2021,4,state,Chandigarh,512092,11603954
2021,4,state,Telangana,20917649,1407599392
2021,4,state,Himachal Pradesh,2013747,47670982
2021,4,state,West Bengal,20644527,512335839
2021,4,state,Gujarat,18139201,487846209
2021,4,state,Sikkim,197407,5525552
2021,4,state,Nagaland,259990,6383337
2021,4,state,Mizoram,108405,2094118
2021,4,state,Chhattisgarh,5565481,251752583
2021,4,state,Jammu & Kashmir,1456810,36012148
2021,4,state,Goa,697178,28288254
2021,4,state,Arunachal Pradesh,314944,11230295
2021,4,state,Delhi,12785127,345669353
2021,4,state,Uttarakhand,3460015,110928354
2022,1,state,Puducherry,448051,3938657
