year,quarter,level,region,type,count,amount
2022,1,state,Uttar Pradesh,TOTAL,45996,73014969.0
2022,1,state,Madhya Pradesh,TOTAL,13791,19901462.0
2022,1,state,Andhra Pradesh,TOTAL,29954,42648157.0
2022,1,state,Tripura,TOTAL,907,1493401.0
2022,1,state,Lakshadweep,TOTAL,27,34664.0
2022,1,state,Manipur,TOTAL,177,517854.0
2022,1,state,Maharashtra,TOTAL,88015,117411928.0
2022,1,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,493,720741.0
2022,1,state,Meghalaya,TOTAL,337,729211.0
2022,1,state,Andaman & Nicobar Islands,TOTAL,768,1131287.0
2022,1,state,Haryana,TOTAL,22783,32526943.0
2022,1,state,Rajasthan,TOTAL,21517,31576932.0
2022,1,state,Ladakh,TOTAL,75,193935.0
2022,1,state,Punjab,TOTAL,7475,13155682.0
2022,1,state,Assam,TOTAL,16230,27447766.0
2022,1,state,Jharkhand,TOTAL,9373,13819466.0
2022,1,state,Odisha,TOTAL,9627,14539309.0
2022,1,state,Bihar,TOTAL,20253,27755736.0
2022,1,state,Kerala,TOTAL,37110,64172190.0
2022,1,state,Karnataka,TOTAL,95640,130733580.0
2022,1,state,Chandigarh,TOTAL,792,1150932.0
2022,1,state,Telangana,TOTAL,36325,51942016.0
2022,1,state,Himachal Pradesh,TOTAL,2768,5234739.0
2022,1,state,West Bengal,TOTAL,38779,51160527.0
2022,1,state,Gujarat,TOTAL,22221,29953433.0
2022,1,state,Sikkim,TOTAL,239,685987.0
2022,1,state,Nagaland,TOTAL,242,529223.0
2022,1,state,Mizoram,TOTAL,85,189428.0
2022,1,state,Chhattisgarh,TOTAL,6612,10139190.0
2022,1,state,Jammu & Kashmir,TOTAL,3584,7244267.0
2022,1,state,Goa,TOTAL,2634,3865245.0
2022,1,state,Arunachal Pradesh,TOTAL,355,894107.0
2022,1,state,Delhi,TOTAL,28232,35442069.0
2022,1,state,Uttarakhand,TOTAL,5339,8824948.0
2022,2,state,Puducherry,TOTAL,1156,1597786.0
2022,2,state,Tamil Nadu,TOTAL,46714,61835120.0
2022,2,state,Uttar Pradesh,TOTAL,55133,77434953.0
2022,2,state,Madhya Pradesh,TOTAL,14629,20159098.0
2022,2,state,Andhra Pradesh,TOTAL,32185,41708072.0
2022,2,state,Tripura,TOTAL,1021,1509105.0
2022,2,state,Lakshadweep,TOTAL,18,27463.0
2022,2,state,Manipur,TOTAL,218,553649.0
2022,2,state,Maharashtra,TOTAL,80935,104603934.0
2022,2,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,438,686857.0
2022,2,state,Meghalaya,TOTAL,379,789094.0
2022,2,state,Andaman & Nicobar Islands,TOTAL,501,779740.0
2022,2,state,Haryana,TOTAL,25352,33759068.0
2022,2,state,Rajasthan,TOTAL,24333,33748931.0
2022,2,state,Ladakh,TOTAL,113,269446.0
2022,2,state,Punjab,TOTAL,9175,15465367.0
2022,2,state,Assam,TOTAL,9228,15357811.0
2022,2,state,Jharkhand,TOTAL,9477,13464840.0
2022,2,state,Odisha,TOTAL,12371,16631095.0
2022,2,state,Bihar,TOTAL,21892,28212833.0
2022,2,state,Kerala,TOTAL,35667,59920203.0
2022,2,state,Karnataka,TOTAL,93385,123228632.0
2022,2,state,Chandigarh,TOTAL,1330,1874959.0
2022,2,state,Telangana,TOTAL,45600,58056956.0
2022,2,state,Himachal Pradesh,TOTAL,2831,5371078.0
2022,2,state,West Bengal,TOTAL,33542,41737021.0
2022,2,state,Gujarat,TOTAL,25381,32090965.0
2022,2,state,Sikkim,TOTAL,160,383709.0
2022,2,state,Nagaland,TOTAL,186,380878.0
2022,2,state,Mizoram,TOTAL,76,115090.0
2022,2,state,Chhattisgarh,TOTAL,7008,10119964.0
2022,2,state,Jammu & Kashmir,TOTAL,4071,7729792.0
2022,2,state,Goa,TOTAL,3524,5093510.0
2022,2,state,Arunachal Pradesh,TOTAL,564,1360231.0
2022,2,state,Delhi,TOTAL,26378,31787281.0
2022,2,state,Uttarakhand,TOTAL,5773,9168313.0
2022,3,state,Puducherry,TOTAL,1585,2025529.0
2022,3,state,Tamil Nadu,TOTAL,64356,79747520.0
2022,3,state,Uttar Pradesh,TOTAL,64514,87703512.0
2022,3,state,Madhya Pradesh,TOTAL,22733,29185118.0
2022,3,state,Andhra Pradesh,TOTAL,39301,48791931.0
2022,3,state,Tripura,TOTAL,1590,2105984.0
2022,3,state,Lakshadweep,TOTAL,38,41504.0
2022,3,state,Manipur,TOTAL,200,403213.0
2022,3,state,Maharashtra,TOTAL,90958,113835208.0
2022,3,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,707,983776.0
2022,3,state,Meghalaya,TOTAL,600,1039491.0
2022,3,state,Andaman & Nicobar Islands,TOTAL,643,902466.0
2022,3,state,Haryana,TOTAL,35346,45402800.0
2022,3,state,Rajasthan,TOTAL,33975,45565544.0
2022,3,state,Ladakh,TOTAL,137,369742.0
2022,3,state,Punjab,TOTAL,12370,19381895.0
2022,3,state,Assam,TOTAL,14149,22543564.0
2022,3,state,Jharkhand,TOTAL,14388,18156857.0
2022,3,state,Odisha,TOTAL,18898,23308531.0
2022,3,state,Bihar,TOTAL,28511,34704251.0
2022,3,state,Kerala,TOTAL,54587,85390924.0
2022,3,state,Karnataka,TOTAL,110273,144605784.0
2022,3,state,Chandigarh,TOTAL,1533,1998439.0
2022,3,state,Telangana,TOTAL,51465,64798126.0
2022,3,state,Himachal Pradesh,TOTAL,3641,6161692.0
2022,3,state,West Bengal,TOTAL,47853,59092307.0
2022,3,state,Gujarat,TOTAL,31302,37557227.0
2022,3,state,Sikkim,TOTAL,243,474940.0
2022,3,state,Nagaland,TOTAL,210,439669.0
2022,3,state,Mizoram,TOTAL,310,471306.0
2022,3,state,Chhattisgarh,TOTAL,8849,12119470.0
2022,3,state,Jammu & Kashmir,TOTAL,4794,8281826.0
2022,3,state,Goa,TOTAL,3157,4142108.0
2022,3,state,Arunachal Pradesh,TOTAL,510,1300304.0
2022,3,state,Delhi,TOTAL,35944,41570160.0
2022,3,state,Uttarakhand,TOTAL,6784,10070172.0
2022,4,state,Puducherry,TOTAL,2331,2693130.0
2022,4,state,Tamil Nadu,TOTAL,125491,146457790.0
2022,4,state,Uttar Pradesh,TOTAL,77022,116755813.0
2022,4,state,Madhya Pradesh,TOTAL,29234,42712883.0
2022,4,state,Andhra Pradesh,TOTAL,44329,58043239.0
2022,4,state,Tripura,TOTAL,1508,2112534.0
2022,4,state,Lakshadweep,TOTAL,15,27135.0
2022,4,state,Manipur,TOTAL,271,620655.0
2022,4,state,Maharashtra,TOTAL,125900,174915648.0
2022,4,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,871,1272628.0
2022,4,state,Meghalaya,TOTAL,627,1189529.0
2022,4,state,Andaman & Nicobar Islands,TOTAL,901,1441210.0
2022,4,state,Haryana,TOTAL,37971,56627115.0
