year,quarter,entity_type,entity_name,rank,registered_users
2022,3,state,Tamil Nadu,8,24019964
2022,3,state,Madhya Pradesh,9,21884220
2022,3,state,Gujarat,10,21394721
2022,3,district,Bengaluru Urban,1,13997602
2022,3,district,Pune,2,9194074
2022,3,district,Thane,3,5757165
2022,3,district,Jaipur,4,5696726
2022,3,district,Mumbai Suburban,5,5555095
2022,3,district,Hyderabad,6,4739891
2022,3,district,Ahmadabad,7,4319512
2022,3,district,Rangareddy,8,4105107
2022,3,district,North Twenty Four Parganas,9,3578500
2022,3,district,Surat,10,3567767
2022,4,state,Maharashtra,1,55954028
2022,4,state,Uttar Pradesh,2,45648650
2022,4,state,Karnataka,3,36081698
2022,4,state,Andhra Pradesh,4,27778016
2022,4,state,Rajasthan,5,27255927
2022,4,state,Telangana,6,25656381
2022,4,state,West Bengal,7,25536381
2022,4,state,Tamil Nadu,8,25136112
2022,4,state,Madhya Pradesh,9,22913924
2022,4,state,Gujarat,10,22412353
2022,4,district,Bengaluru Urban,1,14654455
2022,4,district,Pune,2,9622338
2022,4,district,Thane,3,6042267
2022,4,district,Jaipur,4,5975863
2022,4,district,Mumbai Suburban,5,5831539
2022,4,district,Hyderabad,6,4962214
2022,4,district,Ahmadabad,7,4530853
2022,4,district,Rangareddy,8,4296707
2022,4,district,North Twenty Four Parganas,9,3755017
2022,4,district,Surat,10,3747780
2023,1,state,Maharashtra,1,58470784
2023,1,state,Uttar Pradesh,2,47806049
2023,1,state,Karnataka,3,37681426
2023,1,state,Andhra Pradesh,4,29065863
2023,1,state,Rajasthan,5,28523031
2023,1,state,Telangana,6,26804259
2023,1,state,West Bengal,7,26732895
2023,1,state,Tamil Nadu,8,26270663
2023,1,state,Madhya Pradesh,9,24002818
2023,1,state,Gujarat,10,23436230
2023,1,district,Bengaluru Urban,1,15290372
2023,1,district,Pune,2,10037022
2023,1,district,Thane,3,6314618
2023,1,district,Jaipur,4,6247095
2023,1,district,Mumbai Suburban,5,6095695
2023,1,district,Hyderabad,6,5176899
2023,1,district,Ahmadabad,7,4734630
2023,1,district,Rangareddy,8,4483193
2023,1,district,North Twenty Four Parganas,9,3926974
2023,1,district,Surat,10,3919829
2023,2,state,Maharashtra,1,60766850
2023,2,state,Uttar Pradesh,2,49829833
2023,2,state,Karnataka,3,39122314
2023,2,state,Andhra Pradesh,4,30240061
2023,2,state,Rajasthan,5,29745609
2023,2,state,West Bengal,6,27827662
2023,2,state,Telangana,7,27814633
2023,2,state,Tamil Nadu,8,27317599
2023,2,state,Madhya Pradesh,9,25042930
2023,2,state,Gujarat,10,24396768
2023,2,district,Bengaluru Urban,1,15812243
2023,2,district,Pune,2,10396344
2023,2,district,Thane,3,6552282
2023,2,district,Jaipur,4,6490210
2023,2,district,Mumbai Suburban,5,6322778
2023,2,district,Hyderabad,6,5349842
2023,2,district,Ahmadabad,7,4913610
2023,2,district,Rangareddy,8,4638501
2023,2,district,North Twenty Four Parganas,9,4079270
2023,2,district,Surat,10,4076929
2023,3,state,Maharashtra,1,63150997
2023,3,state,Uttar Pradesh,2,51870932
2023,3,state,Karnataka,3,40634390
2023,3,state,Andhra Pradesh,4,31493897
2023,3,state,Rajasthan,5,30997182
2023,3,state,West Bengal,6,28966414
2023,3,state,Telangana,7,28896668
2023,3,state,Tamil Nadu,8,28405436
2023,3,state,Madhya Pradesh,9,26109033
2023,3,state,Gujarat,10,25383429
2023,3,district,Bengaluru Urban,1,16382332
2023,3,district,Pune,2,10780092
2023,3,district,Thane,3,6802106
2023,3,district,Jaipur,4,6745507
2023,3,district,Mumbai Suburban,5,6560867
2023,3,district,Hyderabad,6,5543537
2023,3,district,Ahmadabad,7,5105557
2023,3,district,Rangareddy,8,4809474
2023,3,district,North Twenty Four Parganas,9,4241525
2023,3,district,Surat,10,4238878
2023,4,state,Maharashtra,1,65422120
2023,4,state,Uttar Pradesh,2,53799813
2023,4,state,Karnataka,3,42031396
2023,4,state,Andhra Pradesh,4,32658698
2023,4,state,Rajasthan,5,32157348
2023,4,state,West Bengal,6,30064546
2023,4,state,Telangana,7,29902636
2023,4,state,Tamil Nadu,8,29452801
